order_id,salesperson,category,city,region,units_sold,unit_price,total_amount,payment_method,order_date
ORD0001,priya,Clothing,Delhi,North,,,,Prepaid,20/05/2024
ORD0002,Divya ,Home,Chennai,South,,,,Prepaid,14/10/2024
ORD0003,Priya,Furniture,Pune,West,11,937,10307,Wallet,22/05/2024
ORD0004,Sara,Home,Kolkata,East,3,4622,13866,COD,"August 23, 2024"
ORD0005,Rahul ,Electronics,Chennai,South,8,927,7416,Prepaid,24/01/2024
ORD0006,ARJUN,Sports,Patna,East,6,4475,26850,Wallet,04-17-2024
ORD0007,arjun,Furniture,Hyderabad,South,11,3386,37246,Wallet,29/01/2024
ORD0008,Meera,Food,Bhubaneswar,East,15,1270,19050,COD,01-Dec-2024
ORD0009,sara,Sports,Surat,West,16,844,13504,Prepaid,04/07/2024
ORD0010,Vijay,,Mumbai,West,9,4632,41688,Wallet,16-Jul-2024
ORD0011,MEERA,Clothing,Patna,East,15,126,1890,Wallet,02-27-2024
ORD0012,Divya,Sports,Chennai,South,7,1352,9464,Wallet,11-16-2024
ORD0013,Sara,Books,Lucknow,North,10,2061,20610,Prepaid,2024-09-07
ORD0014,sara,Food,Mumbai,West,16,4603,73648,Prepaid,29/09/2024
ORD0015,Vijay,Sports,Hyderabad,South,,,,Wallet,07-23-2024
ORD0016,arjun,Clothing,Bangalore,South,3,357,1071,Wallet,2024-01-04
ORD0017,vijay,Clothing,Ahmedabad,West,16,3434,54944,COD,03/10/2024
ORD0018,arjun,Home,Surat,West,11,995,10945,COD,2024-01-28
ORD0019,ARJUN,Home,Hyderabad,South,18,902,16236,Prepaid,24/08/2024
ORD0020,vijay,,Bangalore,South,13,580,7540,COD,27-Jul-2024
ORD0021,vijay,Clothing,Guwahati,East,7,2530,17710,Prepaid,"December 22, 2024"
ORD0022,vijay,Sports,Kolkata,East,17,1389,23613,Prepaid,"January 26, 2024"
ORD0023,priya,Sports,Chandigarh,North,20,425,8500,Wallet,2024-07-25
ORD0024,priya,Books,Patna,East,13,1172,15236,Prepaid,04-14-2024
ORD0025,Sara,Electronics,Jaipur,North,18,1846,33228,Prepaid,"November 14, 2024"
ORD0026,Vijay,Furniture,Hyderabad,South,18,2578,46404,Prepaid,25/05/2024
ORD0027,Sara,Electronics,Kolkata,East,18,1373,24714,Prepaid,03-09-2024
ORD0028,,Food,Guwahati,East,14,2366,33124,COD,2024-05-08
ORD0029,Divya ,Electronics,Kochi,South,4,716,2864,Prepaid,09-Oct-2024
ORD0030,arjun,Books,Bhubaneswar,East,12,426,5112,Prepaid,08/08/2024
ORD0031,priya,,Guwahati,East,6,1550,9300,COD,13/11/2024
ORD0032,Sara,Home,Ahmedabad,West,2,3955,7910,COD,16/05/2024
ORD0033,Meera,Books,Bangalore,South,9,668,6012,COD,13/01/2024
ORD0034,Sara ,Sports,Kolkata,East,9,413,3717,COD,02-29-2024
ORD0035,,Books,Mumbai,West,2,3672,7344,Wallet,"July 16, 2024"
ORD0036,Karan,Sports,Hyderabad,South,11,1120,12320,COD,2024-08-08
ORD0037,Divya ,Clothing,Guwahati,East,7,3544,24808,Prepaid,12-22-2024
ORD0038,Rahul ,Books,Guwahati,East,7,3621,25347,COD,2024-10-07
ORD0039,Sara ,Food,Ahmedabad,West,3,2424,7272,Prepaid,18-Sep-2024
ORD0040,Arjun,Electronics,Bhubaneswar,East,8,3992,31936,Wallet,11/04/2024
ORD0041,priya,Clothing,Kochi,South,1,973,973,Wallet,10-Sep-2024
