shipment_id,order_id,driver_id,expected_delivery_date,actual_delivery_date,delivery_status,delivery_region,sla_days
SHP0001,ORD0001,10,25-May-2024,05-28-2024,Delivered,North,5
SHP0002,ORD0002,9,2024-10-19,24-Oct-2024,Returned,South,5
SHP0003,ORD0003,8,27-May-2024,2024-05-29,Returned,West,5
SHP0004,ORD0004,3,28-Aug-2024,,Lost,East,5
SHP0005,ORD0005,2,01-27-2024,,Lost,South,3
SHP0006,ORD0006,3,04-22-2024,23/04/2024,Returned,East,5
SHP0007,ORD0007,6,"February 03, 2024",06-Feb-2024,Returned,South,5
SHP0008,ORD0008,3,06-Dec-2024,16-Dec-2024,Delayed,East,5
SHP0009,ORD0009,4,09/07/2024,,Lost,West,5
SHP0010,ORD0010,4,21/07/2024,23/07/2024,Returned,West,5
SHP0011,ORD0011,3,03-Mar-2024,2024-03-06,Delayed,East,5
SHP0012,ORD0012,9,11-21-2024,,Lost,South,5
SHP0013,ORD0013,5,2024-09-12,2024-09-17,Returned,North,5
SHP0014,ORD0014,8,04-Oct-2024,09/10/2024,Returned,West,5
SHP0015,ORD0015,6,07-28-2024,,Lost,South,5
SHP0016,ORD0016,6,09/01/2024,2024-01-09,Delivered,South,5
SHP0017,ORD0017,4,10-08-2024,14/10/2024,Delayed,West,5
SHP0018,ORD0018,4,02/02/2024,07-Feb-2024,Delivered,West,5
SHP0019,ORD0019,9,08-29-2024,08-29-2024,Delivered,South,5
SHP0020,ORD0020,6,01/08/2024,08-04-2024,Returned,South,5
SHP0021,ORD0021,3,"December 27, 2024",2025-01-01,Returned,East,5
SHP0022,ORD0022,7,2024-01-31,,Lost,East,5
SHP0023,ORD0023,5,07-30-2024,,Lost,North,5
SHP0024,ORD0024,3,"April 19, 2024",,Lost,East,5
SHP0025,ORD0025,10,11-17-2024,20-Nov-2024,Delivered,North,3
SHP0026,ORD0026,6,30-May-2024,06-01-2024,Delivered,South,5
SHP0027,ORD0027,3,12/03/2024,03-13-2024,Delivered,East,3
SHP0028,ORD0028,7,"May 13, 2024",16/05/2024,Returned,East,5
SHP0029,ORD0029,9,"October 12, 2024",10-13-2024,Delivered,South,3
SHP0030,ORD0030,7,13/08/2024,2024-08-26,Delayed,East,5
SHP0031,ORD0031,7,11-18-2024,,Lost,East,5
SHP0032,ORD0032,8,21-May-2024,,Lost,West,5
SHP0033,ORD0033,2,2024-01-18,"January 19, 2024",Delivered,South,5
SHP0034,ORD0034,7,2024-03-05,10-Mar-2024,Returned,East,5
SHP0035,ORD0035,4,21-Jul-2024,07-26-2024,Delayed,West,5
SHP0036,ORD0036,6,2024-08-13,15/08/2024,Returned,South,5
SHP0037,ORD0037,3,27-Dec-2024,2025-01-04,Delayed,East,5
SHP0038,ORD0038,3,2024-10-12,24-Oct-2024,Delayed,East,5
SHP0039,ORD0039,8,23-Sep-2024,27-Sep-2024,Returned,West,5
SHP0040,ORD0040,7,04-14-2024,2024-04-15,Delivered,East,3
SHP0041,ORD0041,9,15/09/2024,2024-09-18,Delayed,South,5
SHP0042,ORD0042,8,2024-10-17,,Lost,West,5
SHP0043,ORD0043,4,2024-03-27,,Lost,West,5
SHP0044,ORD0044,8,"May 31, 2024",,Lost,West,5
SHP0045,ORD0045,6,08-05-2024,07-Aug-2024,Returned,South,5
SHP0046,ORD0046,5,06/09/2024,2024-09-21,Delayed,North,5
SHP0047,ORD0047,4,"May 22, 2024","May 28, 2024",Delayed,West,3
SHP0048,ORD0048,9,23-Jul-2024,,Lost,South,3
SHP0049,ORD0049,9,2024-06-21,,Lost,South,5
SHP0050,ORD0050,3,2024-12-03,2024-12-05,Delivered,East,5
SHP0051,ORD0051,8,20/10/2024,21-Oct-2024,Returned,West,5
SHP0052,ORD0052,9,"March 01, 2024",2024-03-01,Delivered,South,5
SHP0053,ORD0053,2,"December 27, 2024","January 05, 2025",Delayed,South,5
SHP0054,ORD0054,7,"August 08, 2024",11/08/2024,Delivered,East,5
SHP0055,ORD0055,3,31-Aug-2024,,Lost,East,5
SHP0056,ORD0056,4,01-20-2024,21-Jan-2024,Delivered,West,5
SHP0057,ORD0057,3,26-Sep-2024,"September 28, 2024",Delivered,East,5
SHP0058,ORD0058,4,01-14-2024,2024-01-17,Delivered,West,5
SHP0059,ORD0059,7,2024-10-13,16-Oct-2024,Returned,East,5
SHP0060,ORD0060,5,04-13-2024,04-16-2024,Delayed,North,5
SHP0061,ORD0061,2,06/04/2024,2024-04-06,Delivered,South,5
SHP0062,ORD0062,6,"February 27, 2024",06-Mar-2024,Delayed,South,5
SHP0063,ORD0063,5,2024-07-29,29/07/2024,Delivered,North,5
SHP0064,ORD0064,5,11-Nov-2024,14-Nov-2024,Returned,North,5
SHP0065,ORD0065,3,13/11/2024,2024-11-17,Delayed,East,5
SHP0066,ORD0066,9,02/08/2024,07-Aug-2024,Returned,South,5
SHP0067,ORD0067,9,21/11/2024,,Lost,South,5
SHP0068,ORD0068,5,2024-03-30,31-Mar-2024,Returned,North,5
SHP0069,ORD0069,4,"February 16, 2024",,Lost,West,5
SHP0070,ORD0070,5,"October 27, 2024","November 09, 2024",Delayed,North,5
SHP0071,ORD0071,4,09-02-2024,03-Sep-2024,Delivered,West,5
SHP0072,ORD0072,4,25/08/2024,2024-08-27,Returned,West,5
SHP0073,ORD0073,4,02-Feb-2024,2024-02-06,Returned,West,5
SHP0074,ORD0074,6,"August 15, 2024",,Lost,South,3
SHP0075,ORD0075,1,04-Mar-2024,2024-03-08,Returned,North,5
SHP0076,ORD0076,8,05-09-2024,10-May-2024,Returned,West,5
SHP0077,ORD0077,,28-Jun-2024,29-Jun-2024,Returned,East,5
SHP0078,ORD0078,8,"August 21, 2024","August 24, 2024",Delivered,West,5
SHP0079,ORD0079,6,04/05/2024,2024-05-07,Returned,South,5
SHP0080,ORD0080,8,10-Mar-2024,,Lost,West,5
SHP0081,ORD0081,8,02-13-2024,02-16-2024,Delayed,West,5
SHP0082,ORD0082,4,19/11/2024,,Lost,West,3
SHP0083,ORD0083,5,25/02/2024,"February 26, 2024",Returned,North,5
SHP0084,ORD0084,8,05-10-2024,12/05/2024,Returned,West,5
SHP0085,ORD0085,9,2024-10-30,"October 31, 2024",Returned,South,5
SHP0086,ORD0086,9,"August 19, 2024","August 23, 2024",Returned,South,5
SHP0087,ORD0087,10,"July 19, 2024",2024-07-20,Returned,North,5
SHP0088,ORD0088,1,31/05/2024,"June 05, 2024",Returned,North,5
SHP0089,ORD0089,5,"June 12, 2024","June 16, 2024",Delayed,North,5
SHP0090,ORD0090,9,10-08-2024,12/10/2024,Returned,South,5
SHP0091,ORD0091,7,01/09/2024,,Lost,East,5
SHP0092,ORD0092,10,10-06-2024,,Lost,North,5
SHP0093,ORD0093,2,01-18-2024,"January 24, 2024",Delayed,South,5
SHP0094,ORD0094,3,"March 03, 2024","March 17, 2024",Delayed,East,3
SHP0095,ORD0095,4,"December 14, 2024",,Lost,West,5
SHP0096,ORD0096,5,2024-04-26,01-May-2024,Returned,North,5
SHP0097,ORD0097,3,25/07/2024,2024-07-25,Delivered,East,3
SHP0098,ORD0098,10,07/05/2024,05-14-2024,Delayed,North,3
SHP0099,ORD0099,1,2024-03-20,,Lost,North,5
SHP0100,ORD0100,3,04-Apr-2024,"April 05, 2024",Returned,East,5
SHP0101,ORD0101,10,19-Sep-2024,,Lost,North,5
SHP0102,ORD0102,4,12-22-2024,,Lost,West,5
SHP0103,ORD0103,7,"July 19, 2024","July 21, 2024",Returned,East,5
SHP0104,ORD0104,9,08-24-2024,08/09/2024,Delayed,South,5
SHP0105,ORD0105,3,2024-03-22,"March 22, 2024",Delivered,East,3
SHP0106,ORD0106,10,14/12/2024,12-17-2024,Returned,North,5
SHP0107,ORD0107,2,07-Dec-2024,,Lost,South,5
SHP0108,ORD0108,2,"October 17, 2024",10-20-2024,Delayed,South,3
SHP0109,ORD0109,7,"April 05, 2024",,Lost,East,3
SHP0110,ORD0110,3,"July 13, 2024",,Lost,East,5
SHP0111,ORD0111,10,24-May-2024,"June 02, 2024",Delayed,North,5
SHP0112,ORD0112,8,05-30-2024,06-05-2024,Delayed,West,5
SHP0113,ORD0113,3,03-16-2024,2024-03-21,Returned,East,5
SHP0114,ORD0114,9,11-Feb-2024,02-14-2024,Delayed,South,5
SHP0115,ORD0115,8,"May 31, 2024",2024-05-31,Delivered,West,3
SHP0116,ORD0116,10,29-Feb-2024,,Lost,North,5
SHP0117,ORD0117,3,"February 14, 2024",,Lost,East,5
SHP0118,ORD0118,9,2024-02-27,"February 27, 2024",Delivered,South,5
SHP0119,ORD0119,4,2024-10-20,02-Nov-2024,Delayed,West,5
SHP0120,ORD0120,4,24-Nov-2024,2024-11-25,Returned,West,5
SHP0121,ORD0121,3,02-14-2024,14/02/2024,Delivered,East,5
SHP0122,ORD0122,6,10-Nov-2024,17-Nov-2024,Delayed,South,5
SHP0123,ORD0123,1,2024-01-26,29-Jan-2024,Returned,North,5
SHP0124,ORD0124,4,12-18-2024,2024-12-21,Delivered,West,5
SHP0125,ORD0125,9,"February 16, 2024",02-16-2024,Delivered,South,5
SHP0126,ORD0126,8,11-Mar-2024,2024-03-15,Returned,West,5
SHP0127,ORD0127,7,04-13-2024,"April 18, 2024",Delayed,East,5
SHP0128,ORD0128,10,2024-11-17,11-24-2024,Delayed,North,5
SHP0129,ORD0129,4,"August 03, 2024",2024-08-07,Delayed,West,5
SHP0130,ORD0130,7,14-Apr-2024,14/04/2024,Delivered,East,5
SHP0131,ORD0131,2,"February 01, 2024",06/02/2024,Delayed,South,5
SHP0132,ORD0132,4,2024-08-16,"August 20, 2024",Delayed,West,5
SHP0133,ORD0133,2,2024-02-14,02-19-2024,Returned,South,3
SHP0134,ORD0134,10,09-03-2024,17-Sep-2024,Delayed,North,5
SHP0135,ORD0135,8,2024-05-30,"June 03, 2024",Delayed,West,3
SHP0136,ORD0136,8,11-24-2024,,Lost,West,5
SHP0137,ORD0137,9,30/09/2024,,Lost,South,5
SHP0138,ORD0138,,15/07/2024,,Lost,North,5
SHP0139,ORD0139,3,01-28-2024,12-Feb-2024,Delayed,East,5
SHP0140,ORD0140,10,22-Jan-2024,02-04-2024,Delayed,North,3
SHP0141,ORD0141,8,"January 24, 2024",,Lost,West,5
SHP0142,ORD0142,4,27/06/2024,"June 30, 2024",Delivered,West,5
SHP0143,ORD0143,4,2024-08-13,"August 15, 2024",Delivered,West,5
SHP0144,ORD0144,4,"December 24, 2024",2024-12-29,Returned,West,5
SHP0145,ORD0145,5,08/07/2024,10-Jul-2024,Returned,North,3
SHP0146,ORD0146,3,"October 22, 2024",,Lost,East,5
SHP0147,ORD0147,3,"June 12, 2024",15/06/2024,Returned,East,3
SHP0148,ORD0148,3,"April 24, 2024",04/05/2024,Delayed,East,5
SHP0149,ORD0149,8,2024-12-20,01-03-2025,Delayed,West,5
SHP0150,ORD0150,2,09-22-2024,09-24-2024,Returned,South,5
SHP0151,ORD0151,8,14-Nov-2024,25-Nov-2024,Delayed,West,5
SHP0152,ORD0152,9,2024-11-29,11-29-2024,Delivered,South,5
SHP0153,ORD0153,9,"August 14, 2024",,Lost,South,5
SHP0154,ORD0154,9,09-27-2024,06-Oct-2024,Delayed,South,5
SHP0155,ORD0155,6,"April 02, 2024",03/04/2024,Delivered,South,5
SHP0156,ORD0156,,"October 24, 2024",,Lost,East,5
SHP0157,ORD0157,4,2024-08-25,04/09/2024,Delayed,West,5
SHP0158,ORD0158,3,28/07/2024,,Lost,East,5
SHP0159,ORD0159,6,2024-01-31,02-02-2024,Delivered,South,5
SHP0160,ORD0160,3,27/03/2024,"March 31, 2024",Returned,East,5
SHP0161,ORD0161,2,28/10/2024,2024-10-29,Returned,South,3
